team,season,seed,win_pct,off_rtg,def_rtg,net_rtg,srs,total_playoff_games,player1vorp,player2vorp,player3vorp,player4vorp,player5vorp,player6vorp,player7vorp,player8vorp,player9vorp,champ_scr
Houston Rockets,2015,2,0.683,107.0,103.4,3.5,3.82,370,8.1,2.2,1.6,1.0,0.9,0.8,0.7,0.6,0.5,0.6
Indiana Pacers,2015,9,0.463,103.5,103.2,0.3,-0.23,467,2.3,1.7,1.3,1.2,1.1,0.7,0.6,0.5,0.4,0
Los Angeles Clippers,2015,3,0.683,112.4,105.5,6.9,6.8,501,7.2,3.6,3.5,2.0,1.2,1.0,0.3,0.1,0.0,0.4
Los Angeles Lakers,2015,14,0.256,103.4,110.6,-7.2,-6.17,390,1.6,0.8,0.8,0.7,0.2,0.1,0.1,0.0,0.0,0
Memphis Grizzlies,2015,5,0.671,105.7,102.2,3.5,3.62,568,4.8,2.7,1.9,1.5,1.2,0.9,0.9,0.5,0.4,0.4
Miami Heat,2015,10,0.451,103.9,106.7,-2.8,-2.92,650,2.1,1.8,1.8,1.3,1.2,0.9,0.2,0.1,0.0,0
Milwaukee Bucks,2015,6,0.5,102.7,102.2,0.4,-0.09,123,2.2,1.2,1.1,1.0,1.0,0.8,0.6,0.5,0.3,0.2
Minnesota Timberwolves,2015,15,0.195,102.9,112.2,-9.3,-8.0,179,1.2,0.7,0.6,0.4,0.3,0.2,0.1,0.0,0.0,0
New Orleans Pelicans,2015,8,0.549,108.2,107.3,0.9,1.13,183,6.7,2.2,1.6,0.7,0.5,0.4,0.4,0.3,0.1,0.2
New York Knicks,2015,15,0.207,99.9,110.0,-10.1,-9.49,143,1.8,0.9,0.6,0.2,-0.1,-0.3,-0.3,-0.3,-0.4,0
Oklahoma City Thunder,2015,9,0.549,107.8,105.5,2.3,2.47,385,5.8,2.8,1.7,1.6,0.6,0.6,0.4,0.4,0.3,0
Orlando Magic,2015,13,0.305,101.6,107.7,-6.1,-5.87,112,1.8,1.5,1.1,0.5,0.4,0.2,0.1,-0.1,-0.2,0
Philadelphia 76ers,2015,14,0.22,95.5,104.8,-9.3,-9.04,75,1.3,1.0,0.3,0.2,0.1,0.1,0.0,-0.1,-0.2,0
Phoenix Suns,2015,10,0.476,105.3,106.2,-0.9,-0.38,90,2.9,2.1,1.9,1.4,1.1,1.1,0.6,0.6,0.2,0
Portland Trail Blazers,2015,4,0.622,108.2,103.7,4.5,4.41,234,4.9,3.1,2.6,2.4,0.9,0.6,0.6,0.4,0.4,0.2
Sacramento Kings,2015,13,0.354,105.3,109.2,-3.9,-3.07,217,3.2,2.9,1.6,0.4,0.0,0.0,0.0,0.0,0.0,0
San Antonio Spurs,2015,6,0.671,108.5,102.0,6.5,6.33,1141,4.1,4.0,3.8,1.5,1.2,1.1,0.8,0.4,0.4,0.2
Toronto Raptors,2015,4,0.598,111.0,107.7,3.3,2.45,192,3.1,2.4,2.3,1.5,1.3,0.9,0.6,0.5,0.3,0.2
Utah Jazz,2015,11,0.463,105.1,104.9,0.2,0.71,23,4.0,3.4,2.6,0.7,0.4,0.3,0.3,0.3,0.1,0
Washington Wizards,2015,5,0.561,103.7,103.0,0.8,0.17,463,4.0,2.1,1.7,1.1,0.6,0.5,0.5,0.4,0.3,0.4
Atlanta Hawks,2016,4,0.585,105.1,101.4,3.7,3.49,568,4.1,3.9,1.9,1.3,1.2,0.6,0.6,0.5,0.2,0.4
Boston Celtics,2016,5,0.585,106.8,103.6,3.2,2.83,111,4.2,2.5,1.4,1.4,1.3,1.2,1.1,0.4,0.0,0.2
Brooklyn Nets,2016,14,0.256,103.2,110.9,-7.7,-7.12,100,2.1,1.2,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0
Charlotte Hornets,2016,6,0.585,107.2,104.3,2.8,2.36,199,4.3,2.7,2.0,0.9,0.9,0.6,0.5,0.5,0.4,0.2
Chicago Bulls,2016,9,0.512,105.0,106.5,-1.5,-1.46,414,4.0,3.9,1.5,1.0,0.6,0.2,0.0,-0.1,-0.2,0
Cleveland Cavaliers,2016,1,0.695,110.9,104.5,6.4,5.45,715,7.5,3.3,1.8,1.5,1.2,0.8,0.4,0.3,0.2,1
Dallas Mavericks,2016,6,0.512,106.7,107.0,-0.3,-0.02,471,2.7,1.8,0.9,0.9,0.9,0.7,0.7,0.6,0.5,0.2
Denver Nuggets,2016,10,0.402,105.6,108.9,-3.2,-2.81,236,2.6,2.2,1.7,1.0,0.7,0.4,0.4,0.1,0.0,0
Detroit Pistons,2016,8,0.537,106.1,105.5,0.6,0.43,195,2.8,2.2,2.0,1.3,1.2,0.8,0.6,0.3,0.1,0.2
Golden State Warriors,2016,1,0.89,114.5,103.8,10.7,10.38,551,9.5,5.3,2.5,1.6,1.4,0.9,0.4,0.3,0.3,0.8
Houston Rockets,2016,8,0.5,108.3,108.1,0.2,0.34,518,6.8,1.7,1.2,1.1,0.6,0.3,0.1,0.1,0.0,0.2
Indiana Pacers,2016,7,0.549,104.6,102.9,1.7,1.62,298,4.9,1.7,1.5,1.4,0.9,0.5,0.5,0.2,0.2,0.2
Los Angeles Clippers,2016,4,0.646,108.3,103.8,4.4,4.13,498,6.0,3.2,2.2,1.9,0.9,0.8,0.3,0.3,0.1,0.2
Los Angeles Lakers,2016,15,0.207,101.6,111.6,-10.0,-8.92,475,1.6,0.9,0.2,0.2,0.2,-0.1,-0.2,-0.2,-0.2,0
Memphis Grizzlies,2016,7,0.512,105.4,107.8,-2.4,-2.14,627,2.2,1.7,0.9,0.6,0.4,0.3,0.3,0.3,0.1,0.2
Miami Heat,2016,3,0.585,106.1,104.4,1.7,1.5,644,3.3,2.7,2.2,1.7,1.0,0.6,0.5,0.3,0.1,0.4
Milwaukee Bucks,2016,12,0.402,104.3,108.7,-4.4,-3.98,132,2.9,2.4,1.9,0.5,0.5,0.4,0.1,0.0,0.0,0
Minnesota Timberwolves,2016,13,0.354,106.5,110.1,-3.7,-3.38,263,2.7,2.3,1.5,0.5,0.5,0.3,0.3,-0.1,-0.2,0
New Orleans Pelicans,2016,12,0.366,105.6,109.5,-3.9,-3.56,370,3.2,1.9,0.9,0.7,0.7,0.6,0.3,0.0,0.0,0
New York Knicks,2016,13,0.39,104.6,107.6,-2.9,-2.73,251,3.4,1.5,1.0,0.8,0.7,0.5,0.5,0.2,-0.2,0
